"id","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","Name","brand","area","Latitude","Longitude"
"UT-004","Other","FALSE","FALSE","FALSE","3","0",3,6,2,122.11524739728,"Rowley' Red Barn","Other",78283.5724722845,"40.2584075927734375","-111.6591033935546875"
"UT-005","Grocery Store","FALSE","FALSE","FALSE","2","0",2,12,3,144.201451161132,"Family Dollar","Family Dollar",48990.1757584905,"40.2584075927734375","-111.6591033935546875"
"UT-001","Convenience Store","FALSE","FALSE","FALSE","1","0",1,13,5,122.191727703851,"Ivanov's Market","Other",11036.4483814181,"39.9755200000000030513547244481742382049560546875","-111.7851370000000059690137277357280254364013671875"
"UT-002","Grocery Store","TRUE","FALSE","FALSE","10","6",16,25,-1,122.014475968992,"Macey's","Macey's",96952.1890253775,"39.97539400000000142654243973083794116973876953125","-111.7787430000000057361830840818583965301513671875"
"UT-009","Other","FALSE","FALSE","FALSE","1","0",1,11,2,124.672786043926,"El Pueblo Market","Other",62870.3355871588,"40.2584075927734375","-111.6591033935546875"
"UT-008","Grocery Store","FALSE","FALSE","TRUE","25","8",33,25,3,104.614217054264,"Walmart Supercenter","Walmart",669196.928164244,"40.2584075927734375","-111.6591033935546875"
"UT-010","Grocery Store","TRUE","FALSE","FALSE","10","0",10,26,3,140.867587596899,"Smith's","Smith's",189156.105022956,"40.3968963623046875","-111.791900634765625"
"UT-012","Grocery Store","FALSE","TRUE","FALSE","2","0",2,7,1,118.719353868569,"El Centro De Payson Mexican Store","Other",31443.5172620267,"40.3968963623046875","-111.791900634765625"
"UT-011","Grocery Store","FALSE","TRUE","FALSE","2","0",2,11,1,98.9092658477352,"El Mercadito","Other",28617.2296786352,"40.3968963623046875","-111.791900634765625"
"UT-030","Grocery Store","TRUE","FALSE","FALSE","13","18",31,22,0,119.749215503876,"Smith's","Smith's",369110.288197744,"40.2384219999999999117790139280259609222412109375","-111.66135800000000699583324603736400604248046875"
"UT-035","Grocery Store","TRUE","FALSE","FALSE","12","6",18,22,2,127.598266666667,"Macey's","Macey's",146271.007702927,"40.3730010986328125","-111.7371978759765625"
"UT-033","Grocery Store","FALSE","TRUE","FALSE","4","4",8,15,6,99.092209327431,"Rancho Market","Other",47129.8013179228,"40.649993896484375","-112.006103515625"
"UT-034","Grocery Store","TRUE","FALSE","FALSE","13","4",17,27,-2,128.467180620155,"Walmart Neighborhood Market","Walmart",332242.078394324,"40.2584075927734375","-111.6591033935546875"
"UT-053","Grocery Store","FALSE","FALSE","FALSE","9","0",9,20,3,111.309614235377,"Trader Joe's","Other",99813.8940993082,"40.23722000000000065256244852207601070404052734375","-111.65298400000000356158125214278697967529296875"
"UT-052","Grocery Store","TRUE","FALSE","FALSE","13","6",19,23,-1,120.534771440228,"Harmon's","Harmons",309371.70858732,"40.3109759999999965884853736497461795806884765625","-111.675117000000000189174897968769073486328125"
"UT-040","Grocery Store","TRUE","FALSE","FALSE","32","16",48,26,-1,95.862292248062,"Walmart Supercenter","Walmart",635499.712944269,"40.2732969999999994570316630415618419647216796875","-111.7108620000000058780642575584352016448974609375"
"UT-041","Grocery Store","FALSE","FALSE","FALSE","5","6",11,22,1,125.650545073046,"Sprouts","Other",41189.7988151014,"40.27190699999999878855305723845958709716796875","-111.682738000000000511136022396385669708251953125"
"UT-037","Grocery Store","FALSE","FALSE","FALSE","7","0",7,24,3,119.01763875969,"Day's Market","Other",49224.355090946,"40.2584075927734375","-111.6591033935546875"
"UT-044","Grocery Store","FALSE","FALSE","FALSE","4","0",4,15,0,126.320564935543,"Good Earth","Other",45094.8788560508,"40.28807299999999713691067881882190704345703125","-111.6917260000000027275746106170117855072021484375"
